Income,CreditScore,Employment,Age,LoanApproved
Medium,Fair,Yes,Adult,Yes
"Medium,High",Good,Yes,Adult,Yes
Medium,Fair,Yes,Young,No
Medium,Poor,No,Adult,No
Low,Fair,No,Senior,No
Low,Poor,No,Young,No
Low,Good,No,Young,No
High,Good,Yes,Young,Yes
"Medium,High",Good,No,Young,No
High,Good,No,Senior,No
Medium,Good,No,Young,No
Medium,Good,No,Senior,No
Low,Fair,No,Young,No
Low,Poor,No,Young,No
High,Fair,Yes,Adult,Yes
"Medium,High",Fair,No,Young,No
"Medium,High",Fair,No,Adult,No
Medium,Good,Yes,Adult,Yes
High,Good,No,Senior,No
"Medium,High",Fair,No,Senior,Yes
Low,Poor,No,Young,No
"Medium,High",Poor,Yes,Senior,Yes
Medium,Poor,Yes,Adult,Yes
Medium,Poor,Yes,Senior,Yes
"Medium,High",Good,Yes,Adult,Yes
High,Fair,No,Senior,Yes
"Medium,High",Poor,Yes,Senior,No
Low,Fair,Yes,Senior,No
High,Fair,Yes,Adult,Yes
High,Fair,No,Adult,Yes
Low,Good,Yes,Senior,Yes
High,Good,No,Adult,No
High,Good,No,Young,No
High,Fair,No,Adult,Yes
Medium,Poor,No,Adult,No
Medium,Good,Yes,Young,Yes
Medium,Poor,Yes,Young,No
Low,Poor,Yes,Senior,Yes
"Medium,High",Fair,Yes,Adult,Yes
Low,Fair,No,Senior,No
High,Good,No,Senior,No
Medium,Good,Yes,Senior,Yes
Medium,Poor,No,Senior,No
Low,Fair,Yes,Adult,No
"Medium,High",Fair,No,Senior,Yes
"Medium,High",Poor,Yes,Senior,Yes
Low,Fair,No,Young,No
Medium,Fair,Yes,Young,No
Medium,Fair,Yes,Young,No
Low,Poor,Yes,Adult,Yes
Medium,Good,Yes,Senior,Yes
Medium,Poor,No,Senior,No
High,Poor,Yes,Senior,Yes
High,Fair,No,Young,Yes
"Medium,High",Fair,Yes,Young,No
High,Poor,Yes,Young,Yes
Medium,Fair,No,Adult,Yes
"Medium,High",Fair,No,Adult,Yes
Medium,Poor,Yes,Senior,Yes
"Medium,High",Poor,No,Young,No
"Medium,High",Fair,No,Senior,No
High,Fair,No,Senior,Yes
High,Poor,No,Adult,No
Medium,Good,No,Adult,No
"Medium,High",Poor,Yes,Adult,Yes
"Medium,High",Poor,Yes,Young,No
High,Poor,No,Young,No
"Medium,High",Poor,No,Adult,No
Medium,Poor,No,Senior,No
Low,Poor,Yes,Senior,Yes
Medium,Poor,No,Adult,No
High,Fair,No,Young,Yes
High,Fair,No,Young,Yes
Low,Poor,No,Young,No
Medium,Good,Yes,Adult,Yes
"Medium,High",Good,Yes,Adult,Yes
Low,Poor,No,Senior,No
"Medium,High",Poor,Yes,Adult,Yes
High,Good,No,Adult,Yes
Low,Fair,Yes,Young,No
High,Good,No,Young,Yes
Medium,Fair,No,Young,No
Medium,Good,Yes,Young,Yes
Medium,Good,No,Adult,No
High,Fair,No,Adult,No
Low,Poor,Yes,Senior,Yes
Medium,Fair,Yes,Young,Yes
"Medium,High",Poor,No,Senior,No
High,Poor,No,Young,No
High,Poor,No,Young,No
High,Fair,Yes,Young,Yes
Low,Good,No,Adult,Yes
High,Good,Yes,Young,Yes
Low,Fair,No,Adult,No
Low,Good,No,Senior,Yes
Low,Poor,Yes,Adult,Yes
"Medium,High",Fair,No,Senior,No
"Medium,High",Good,Yes,Senior,Yes
"Medium,High",Poor,Yes,Senior,No
"Medium,High",Fair,Yes,Young,No
High,Fair,No,Adult,Yes
High,Good,Yes,Young,Yes
"Medium,High",Good,Yes,Adult,Yes
High,Fair,No,Senior,Yes
"Medium,High",Fair,Yes,Adult,No
Medium,Fair,Yes,Adult,Yes
Low,Fair,Yes,Adult,Yes
"Medium,High",Poor,Yes,Adult,No
Low,Fair,Yes,Senior,No
Medium,Good,Yes,Senior,Yes
Medium,Poor,Yes,Senior,No
Medium,Poor,No,Senior,No
Low,Poor,Yes,Adult,No
Medium,Good,No,Young,Yes
Low,Good,No,Young,Yes
"Medium,High",Good,No,Young,Yes
"Medium,High",Poor,No,Young,No
High,Good,Yes,Adult,Yes
Low,Fair,Yes,Young,Yes
High,Good,Yes,Adult,Yes
Medium,Good,Yes,Senior,Yes
Low,Fair,Yes,Senior,Yes
Low,Poor,No,Adult,No
"Medium,High",Poor,No,Adult,No
"Medium,High",Fair,No,Young,Yes
Medium,Good,Yes,Adult,Yes
High,Fair,No,Young,No
High,Fair,No,Adult,No
High,Fair,No,Young,Yes
"Medium,High",Poor,No,Senior,No
High,Fair,No,Young,Yes
Low,Fair,No,Young,No
"Medium,High",Good,No,Senior,Yes
Medium,Poor,Yes,Senior,No
High,Good,Yes,Senior,Yes
Medium,Fair,Yes,Adult,Yes
High,Fair,Yes,Young,Yes
"Medium,High",Fair,No,Adult,No
High,Good,No,Adult,No
"Medium,High",Poor,Yes,Young,No
Medium,Poor,No,Adult,No
Low,Fair,Yes,Adult,No
"Medium,High",Good,No,Senior,Yes
Low,Fair,Yes,Young,Yes
Medium,Poor,No,Senior,No
High,Good,No,Adult,Yes
Low,Poor,No,Young,No
"Medium,High",Fair,Yes,Young,Yes
High,Good,No,Young,Yes
High,Good,No,Young,Yes
"Medium,High",Poor,No,Senior,No
"Medium,High",Poor,No,Adult,No
Low,Fair,No,Adult,Yes
High,Poor,Yes,Adult,Yes
Low,Good,Yes,Senior,Yes
High,Poor,Yes,Adult,Yes
High,Poor,No,Young,No
Low,Good,No,Senior,Yes
Medium,Poor,Yes,Young,No
Low,Poor,No,Adult,No
Medium,Fair,Yes,Senior,No
High,Good,No,Adult,Yes
Medium,Good,Yes,Senior,Yes
"Medium,High",Fair,No,Young,Yes
"Medium,High",Good,Yes,Young,Yes
Low,Fair,No,Adult,No
"Medium,High",Poor,Yes,Senior,No
Medium,Fair,Yes,Adult,No
"Medium,High",Poor,No,Adult,No
High,Poor,No,Senior,No
Medium,Good,No,Adult,No
Low,Poor,Yes,Young,No
Low,Poor,No,Senior,No
Low,Fair,No,Senior,No
High,Poor,Yes,Adult,Yes
Medium,Fair,Yes,Adult,Yes
"Medium,High",Good,Yes,Adult,Yes
Medium,Fair,No,Young,Yes
High,Fair,No,Young,Yes
"Medium,High",Good,No,Young,Yes
Low,Fair,Yes,Young,No
Medium,Fair,No,Young,Yes
High,Poor,No,Adult,No
Medium,Poor,Yes,Senior,Yes
Low,Good,Yes,Young,Yes
"Medium,High",Fair,No,Young,Yes
Low,Poor,Yes,Adult,No
Medium,Good,No,Senior,No
Low,Good,Yes,Adult,Yes
High,Fair,No,Young,No
"Medium,High",Good,No,Adult,No
Medium,Good,No,Young,No
Medium,Poor,No,Senior,No
High,Fair,No,Senior,Yes
Medium,Poor,No,Adult,No
High,Fair,Yes,Adult,Yes
Low,Good,Yes,Adult,Yes
Medium,Good,Yes,Adult,Yes
"Medium,High",Poor,Yes,Adult,No
High,Good,Yes,Young,Yes
High,Good,Yes,Young,Yes
Low,Poor,No,Adult,No
"Medium,High",Poor,Yes,Adult,Yes
Medium,Fair,Yes,Senior,Yes
"Medium,High",Poor,No,Young,No
"Medium,High",Fair,Yes,Adult,No
Low,Fair,No,Adult,No
"Medium,High",Poor,Yes,Adult,No
Low,Good,No,Adult,Yes
"Medium,High",Poor,Yes,Young,No
"Medium,High",Poor,No,Senior,No
Medium,Fair,No,Adult,No
"Medium,High",Good,Yes,Young,Yes
High,Fair,No,Senior,No
High,Good,Yes,Adult,Yes
"Medium,High",Poor,Yes,Senior,No
Low,Fair,No,Adult,Yes
High,Good,No,Senior,No
Low,Poor,No,Adult,No
"Medium,High",Fair,Yes,Young,Yes
Medium,Poor,No,Young,No
High,Good,Yes,Senior,Yes
High,Good,No,Adult,No
Medium,Good,No,Young,No
"Medium,High",Poor,Yes,Young,No
Medium,Poor,Yes,Senior,Yes
Medium,Fair,No,Senior,No
Low,Poor,No,Adult,No
Low,Good,Yes,Adult,Yes
"Medium,High",Fair,No,Adult,No
Low,Good,No,Young,No
"Medium,High",Fair,No,Young,Yes
Medium,Poor,Yes,Adult,Yes
High,Good,No,Young,No
High,Good,No,Senior,No
"Medium,High",Poor,No,Adult,No
Low,Fair,No,Young,Yes
"Medium,High",Poor,Yes,Adult,Yes
Low,Fair,Yes,Senior,No
"Medium,High",Poor,Yes,Adult,Yes
High,Fair,No,Young,Yes
High,Fair,No,Adult,Yes
Low,Fair,Yes,Young,No
High,Good,Yes,Senior,Yes
Low,Fair,No,Adult,Yes
Medium,Poor,No,Young,No
Medium,Fair,No,Senior,No
Low,Fair,Yes,Adult,No
Low,Fair,Yes,Young,Yes
"Medium,High",Poor,Yes,Young,No
High,Fair,No,Adult,No
"Medium,High",Poor,Yes,Senior,Yes
Low,Fair,Yes,Senior,Yes
High,Good,Yes,Young,Yes
Low,Fair,No,Adult,Yes
Low,Fair,Yes,Young,Yes
"Medium,High",Good,Yes,Young,Yes
High,Good,Yes,Adult,Yes
Medium,Fair,Yes,Young,No
